Day,Impressions,"CPM (Cost per 1,000 Impressions)",Link Clicks,CTR (Link Click-Through Rate),CPC (Cost per Link Click),Amount Spent,Messaging Conversations Started,Checkouts Initiated
2022-10-06,29,83.45,,,,2.42,,
2022-10-06,30,52,,,,1.56,,
2022-10-06,17,132.94,,,,2.26,,
2022-10-06,25,125.6,1,4,3.14,3.14,,
2022-10-06,241,79.71,,,,19.21,,
2022-10-06,240,52.75,1,0.42,12.66,12.66,,
2022-10-06,139,61.51,2,1.44,4.28,8.55,,
2022-10-06,162,56.3,,,,9.12,,
2022-10-06,269,92.23,1,0.37,24.81,24.81,,
2022-10-06,241,34.9,1,0.41,8.41,8.41,,
2022-10-06,277,19.46,,,,5.39,,
2022-10-06,393,58.7,4,1.02,5.77,23.07,,
2022-10-06,379,52.59,,,,19.93,,
2022-10-06,156,36.79,1,0.64,5.74,5.74,,
2022-10-06,251,45.38,,,,11.39,,
2022-10-06,250,41.48,1,0.4,10.37,10.37,,
2022-10-07,5,234,,,,1.17,,
2022-10-07,27,44.81,,,,1.21,,
2022-10-07,69,65.65,,,,4.53,,
2022-10-07,12,68.33,,,,0.82,,
2022-10-07,152,83.42,,,,12.68,,
2022-10-07,26,153.46,1,3.85,3.99,3.99,,
2022-10-07,103,60.68,2,1.94,3.13,6.25,,
2022-10-07,120,76.5,,,,9.18,,
2022-10-07,551,85.1,5,0.91,9.38,46.89,,
2022-10-07,147,37.01,1,0.68,5.44,5.44,,
2022-10-07,191,50.42,1,0.52,9.63,9.63,,
2022-10-07,504,90.87,1,0.2,45.8,45.8,,
2022-10-07,137,66.06,,,,9.05,,
2022-10-07,59,75.59,,,,4.46,,
2022-10-07,105,92.48,3,2.86,3.24,9.71,,
2022-10-07,89,77.64,,,,6.91,,
2022-10-10,0,,,,,0,,1
